time, co2(ppm), temperature(C), rel_humidity(percent)
30-08-2023 17:49:19, 1461, 22.41, 74.17
30-08-2023 17:49:24, 1460, 22.41, 74.20
30-08-2023 17:49:29, 1460, 22.41, 74.19
30-08-2023 17:49:34, 1460, 22.41, 74.20
30-08-2023 17:49:39, 1460, 22.40, 74.21
30-08-2023 17:49:44, 1460, 22.41, 74.18
30-08-2023 17:49:49, 1460, 22.42, 74.14
30-08-2023 17:49:54, 1460, 22.40, 74.16
30-08-2023 17:49:59, 1460, 22.40, 74.19
30-08-2023 17:50:04, 1460, 22.39, 74.13
30-08-2023 17:50:09, 1461, 22.40, 74.21
30-08-2023 17:50:14, 1460, 22.40, 74.21
30-08-2023 17:50:20, 1459, 22.41, 74.19
30-08-2023 17:50:25, 1458, 22.41, 74.25
30-08-2023 17:50:30, 1458, 22.41, 74.19
30-08-2023 17:50:35, 1458, 22.40, 74.17
30-08-2023 17:50:40, 1459, 22.40, 74.17
30-08-2023 17:50:45, 1458, 22.42, 74.18
30-08-2023 17:50:50, 1459, 22.42, 74.21
30-08-2023 17:50:55, 1457, 22.39, 74.16
30-08-2023 17:51:00, 1458, 22.40, 74.21
30-08-2023 17:51:05, 1458, 22.40, 74.17
30-08-2023 17:51:10, 1458, 22.39, 74.20
30-08-2023 17:51:15, 1458, 22.41, 74.20
30-08-2023 17:51:20, 1458, 22.42, 74.21
30-08-2023 17:51:25, 1458, 22.39, 74.18
30-08-2023 17:51:30, 1458, 22.41, 74.23
30-08-2023 17:51:35, 1458, 22.40, 74.17
30-08-2023 17:51:40, 1457, 22.40, 74.17
30-08-2023 17:51:45, 1457, 22.39, 74.20
30-08-2023 17:51:50, 1457, 22.40, 74.19
30-08-2023 17:51:55, 1456, 22.42, 74.22
30-08-2023 17:52:00, 1456, 22.40, 74.21
30-08-2023 17:52:05, 1456, 22.40, 74.23
30-08-2023 17:52:10, 1455, 22.41, 74.19
30-08-2023 17:52:15, 1456, 22.41, 74.22
30-08-2023 17:52:20, 1456, 22.41, 74.21
30-08-2023 17:52:25, 1457, 22.39, 74.21
30-08-2023 17:52:30, 1456, 22.41, 74.24
30-08-2023 17:52:35, 1455, 22.40, 74.16
30-08-2023 17:52:40, 1456, 22.41, 74.21
30-08-2023 17:52:45, 1456, 22.39, 74.22
30-08-2023 17:52:50, 1456, 22.41, 74.21
30-08-2023 17:52:55, 1457, 22.42, 74.23
30-08-2023 17:53:00, 1458, 22.41, 74.20
30-08-2023 17:53:05, 1458, 22.41, 74.24
30-08-2023 17:53:10, 1458, 22.41, 74.18
30-08-2023 17:53:15, 1457, 22.39, 74.22
30-08-2023 17:53:20, 1458, 22.40, 74.19
30-08-2023 17:53:25, 1458, 22.40, 74.21
30-08-2023 17:53:30, 1457, 22.41, 74.20
30-08-2023 17:53:35, 1456, 22.40, 74.21
30-08-2023 17:53:40, 1456, 22.41, 74.21
30-08-2023 17:53:45, 1456, 22.40, 74.23
30-08-2023 17:53:50, 1455, 22.41, 74.24
30-08-2023 17:53:55, 1456, 22.38, 74.18
30-08-2023 17:54:00, 1456, 22.40, 74.21
30-08-2023 17:54:05, 1456, 22.39, 74.22
30-08-2023 17:54:10, 1456, 22.41, 74.19
30-08-2023 17:54:15, 1457, 22.39, 74.20
30-08-2023 17:54:20, 1457, 22.40, 74.24
30-08-2023 17:54:25, 1457, 22.40, 74.19
30-08-2023 17:54:30, 1457, 22.39, 74.20
30-08-2023 17:54:35, 1457, 22.41, 74.23
30-08-2023 17:54:40, 1457, 22.39, 74.23
30-08-2023 17:54:45, 1456, 22.40, 74.24
30-08-2023 17:54:50, 1456, 22.40, 74.21
30-08-2023 17:54:55, 1456, 22.38, 74.22
30-08-2023 17:55:00, 1456, 22.41, 74.27
30-08-2023 17:55:05, 1455, 22.41, 74.22
30-08-2023 17:55:10, 1455, 22.40, 74.23
30-08-2023 17:55:15, 1456, 22.41, 74.24
30-08-2023 17:55:20, 1455, 22.40, 74.22
30-08-2023 17:55:25, 1456, 22.40, 74.22
30-08-2023 17:55:30, 1457, 22.41, 74.21
30-08-2023 17:55:35, 1457, 22.40, 74.21
30-08-2023 17:55:40, 1457, 22.41, 74.22
30-08-2023 17:55:45, 1457, 22.39, 74.18
30-08-2023 17:55:50, 1458, 22.42, 74.27
30-08-2023 17:55:55, 1457, 22.39, 74.24
30-08-2023 17:56:00, 1457, 22.39, 74.17
30-08-2023 17:56:05, 1458, 22.39, 74.24
30-08-2023 17:56:10, 1458, 22.39, 74.20
30-08-2023 17:56:15, 1458, 22.41, 74.24
30-08-2023 17:56:20, 1459, 22.40, 74.24
30-08-2023 17:56:25, 1459, 22.39, 74.22
30-08-2023 17:56:30, 1457, 22.39, 74.20
30-08-2023 17:56:35, 1458, 22.40, 74.22
30-08-2023 17:56:40, 1458, 22.39, 74.23
30-08-2023 17:56:45, 1459, 22.41, 74.23
30-08-2023 17:56:50, 1461, 22.39, 74.23
30-08-2023 17:56:55, 1461, 22.41, 74.24
30-08-2023 17:57:00, 1461, 22.42, 74.21
30-08-2023 17:57:05, 1462, 22.40, 74.21
30-08-2023 17:57:10, 1461, 22.38, 74.19
30-08-2023 17:57:15, 1462, 22.40, 74.19
30-08-2023 17:57:20, 1462, 22.41, 74.25
30-08-2023 17:57:25, 1462, 22.40, 74.17
30-08-2023 17:57:30, 1462, 22.40, 74.21
30-08-2023 17:57:35, 1462, 22.39, 74.23
30-08-2023 17:57:40, 1463, 22.40, 74.26
30-08-2023 17:57:45, 1463, 22.39, 74.19
30-08-2023 17:57:50, 1462, 22.40, 74.22
30-08-2023 17:57:55, 1463, 22.39, 74.22
30-08-2023 17:58:00, 1464, 22.40, 74.21
30-08-2023 17:58:05, 1464, 22.39, 74.23
30-08-2023 17:58:10, 1465, 22.40, 74.24
30-08-2023 17:58:15, 1466, 22.40, 74.26
30-08-2023 17:58:20, 1466, 22.39, 74.25
