time, co2(ppm), temperature(°C), rel_humidity(percent)
2023/09/07 18:26:24, 986, 23.17, 88.02
2023/09/07 18:26:29, 987, 23.18, 88.02
2023/09/07 18:26:34, 987, 23.18, 88.02
2023/09/07 18:26:39, 986, 23.20, 88.02
2023/09/07 18:26:44, 986, 23.19, 88.03
2023/09/07 18:26:49, 986, 23.18, 88.02
2023/09/07 18:26:54, 985, 23.18, 87.99
2023/09/07 18:26:59, 986, 23.18, 87.99
2023/09/07 18:27:04, 987, 23.18, 87.99
2023/09/07 18:27:09, 988, 23.18, 88.01
2023/09/07 18:27:14, 989, 23.18, 87.99
2023/09/07 18:27:19, 989, 23.16, 87.97
2023/09/07 18:27:24, 988, 23.19, 88.02
2023/09/07 18:27:29, 988, 23.18, 87.98
2023/09/07 18:27:34, 988, 23.19, 87.99
2023/09/07 18:27:39, 989, 23.20, 88.00
2023/09/07 18:27:44, 992, 23.18, 88.00
2023/09/07 18:27:49, 992, 23.19, 88.04
2023/09/07 18:27:54, 992, 23.18, 87.98
2023/09/07 18:27:59, 992, 23.20, 88.03
2023/09/07 18:28:04, 991, 23.18, 88.02
2023/09/07 18:28:09, 992, 23.19, 87.98
2023/09/07 18:28:14, 993, 23.19, 87.96
2023/09/07 18:28:19, 993, 23.18, 88.02
2023/09/07 18:28:24, 995, 23.18, 88.00
2023/09/07 18:28:29, 994, 23.20, 88.00
2023/09/07 18:28:34, 995, 23.18, 87.97
2023/09/07 18:28:39, 996, 23.18, 87.96
2023/09/07 18:28:44, 996, 23.16, 88.00
2023/09/07 18:28:49, 996, 23.19, 88.01
2023/09/07 18:28:54, 997, 23.18, 87.95
2023/09/07 18:28:59, 1000, 23.19, 87.98
2023/09/07 18:29:04, 1000, 23.16, 88.00
2023/09/07 18:29:09, 1001, 23.18, 87.99
2023/09/07 18:29:14, 1001, 23.17, 87.98
2023/09/07 18:29:19, 1001, 23.17, 87.98
2023/09/07 18:29:24, 1002, 23.20, 87.96
2023/09/07 18:29:29, 1003, 23.18, 87.96
2023/09/07 18:29:34, 1003, 23.18, 87.93
2023/09/07 18:29:39, 1003, 23.18, 87.97
2023/09/07 18:29:44, 1002, 23.19, 88.00
2023/09/07 18:29:49, 1002, 23.18, 87.97
2023/09/07 18:29:54, 1003, 23.17, 87.99
2023/09/07 18:29:59, 1003, 23.18, 87.99
2023/09/07 18:30:04, 1005, 23.19, 87.99
2023/09/07 18:30:09, 1006, 23.18, 87.93
2023/09/07 18:30:14, 1006, 23.19, 87.97
2023/09/07 18:30:19, 1009, 23.18, 87.99
2023/09/07 18:30:24, 1013, 23.19, 87.93
2023/09/07 18:30:29, 1013, 23.18, 87.97
2023/09/07 18:30:34, 1013, 23.19, 87.97
2023/09/07 18:30:39, 1013, 23.18, 87.98
2023/09/07 18:30:44, 1013, 23.18, 87.96
2023/09/07 18:30:49, 1014, 23.17, 87.92
2023/09/07 18:30:54, 1013, 23.19, 87.95
2023/09/07 18:30:59, 1013, 23.18, 87.95
2023/09/07 18:31:04, 1013, 23.18, 87.98
2023/09/07 18:31:09, 1012, 23.18, 87.99
2023/09/07 18:31:14, 1013, 23.17, 87.93
2023/09/07 18:31:19, 1013, 23.17, 87.92
2023/09/07 18:31:24, 1012, 23.18, 87.96
2023/09/07 18:31:29, 1013, 23.17, 87.92
2023/09/07 18:31:34, 1013, 23.18, 87.99
2023/09/07 18:31:39, 1013, 23.19, 87.97
2023/09/07 18:31:44, 1012, 23.18, 87.93
2023/09/07 18:31:49, 1012, 23.19, 87.94
2023/09/07 18:31:54, 1014, 23.20, 87.93
2023/09/07 18:31:59, 1013, 23.19, 87.94
2023/09/07 18:32:04, 1013, 23.20, 87.93
2023/09/07 18:32:09, 1014, 23.18, 87.94
2023/09/07 18:32:14, 1015, 23.19, 87.91
2023/09/07 18:32:19, 1014, 23.17, 87.93
2023/09/07 18:32:24, 1014, 23.16, 87.95
2023/09/07 18:32:29, 1015, 23.16, 87.90
2023/09/07 18:32:34, 1014, 23.18, 87.95
2023/09/07 18:32:39, 1014, 23.18, 87.95
2023/09/07 18:32:44, 1014, 23.19, 87.94
2023/09/07 18:32:49, 1015, 23.16, 87.93
2023/09/07 18:32:54, 1017, 23.19, 87.93
2023/09/07 18:32:59, 1017, 23.18, 87.94
2023/09/07 18:33:04, 1017, 23.20, 87.96
2023/09/07 18:33:09, 1017, 23.19, 87.91
2023/09/07 18:33:14, 1017, 23.18, 87.92
2023/09/07 18:33:19, 1016, 23.16, 87.90
2023/09/07 18:33:24, 1018, 23.18, 87.92
2023/09/07 18:33:29, 1018, 23.19, 87.91
2023/09/07 18:33:34, 1019, 23.17, 87.89
2023/09/07 18:33:39, 1019, 23.20, 87.93
2023/09/07 18:33:44, 1019, 23.18, 87.90
2023/09/07 18:33:49, 1020, 23.20, 87.90
2023/09/07 18:33:54, 1019, 23.20, 87.90
2023/09/07 18:33:59, 1022, 23.18, 87.91
2023/09/07 18:34:04, 1021, 23.19, 87.93
