time,co2(ppm),temperature(°C),rel_humidity(percent)
2023-08-30 17:53:25,1458,22.4,74.21
2023-08-30 17:53:30,1457,22.41,74.2
2023-08-30 17:53:35,1456,22.4,74.21
2023-08-30 17:53:40,1456,22.41,74.21
2023-08-30 17:53:45,1456,22.4,74.23
2023-08-30 17:53:50,1455,22.41,74.24
2023-08-30 17:53:55,1456,22.38,74.18
2023-08-30 17:54:00,1456,22.4,74.21
2023-08-30 17:54:05,1456,22.39,74.22
2023-08-30 17:54:10,1456,22.41,74.19
2023-08-30 17:54:15,1457,22.39,74.2
2023-08-30 17:54:20,1457,22.4,74.24
2023-08-30 17:54:25,1457,22.4,74.19
2023-08-30 17:54:30,1457,22.39,74.2
2023-08-30 17:54:35,1457,22.41,74.23
2023-08-30 17:54:40,1457,22.39,74.23
2023-08-30 17:54:45,1456,22.4,74.24
2023-08-30 17:54:50,1456,22.4,74.21
2023-08-30 17:54:55,1456,22.38,74.22
2023-08-30 17:55:00,1456,22.41,74.27
2023-08-30 17:55:05,1455,22.41,74.22
2023-08-30 17:55:10,1455,22.4,74.23
2023-08-30 17:55:15,1456,22.41,74.24
2023-08-30 17:55:20,1455,22.4,74.22
2023-08-30 17:55:25,1456,22.4,74.22
2023-08-30 17:55:30,1457,22.41,74.21
2023-08-30 17:55:35,1457,22.4,74.21
2023-08-30 17:55:40,1457,22.41,74.22
2023-08-30 17:55:45,1457,22.39,74.18
2023-08-30 17:55:50,1458,22.42,74.27
2023-08-30 17:55:55,1457,22.39,74.24
2023-08-30 17:56:00,1457,22.39,74.17
2023-08-30 17:56:05,1458,22.39,74.24
2023-08-30 17:56:10,1458,22.39,74.2
2023-08-30 17:56:15,1458,22.41,74.24
2023-08-30 17:56:20,1459,22.4,74.24
2023-08-30 17:56:25,1459,22.39,74.22
2023-08-30 17:56:30,1457,22.39,74.2
2023-08-30 17:56:35,1458,22.4,74.22
2023-08-30 17:56:40,1458,22.39,74.23
2023-08-30 17:56:45,1459,22.41,74.23
2023-08-30 17:56:50,1461,22.39,74.23
2023-08-30 17:56:55,1461,22.41,74.24
2023-08-30 17:57:00,1461,22.42,74.21
2023-08-30 17:57:05,1462,22.4,74.21
2023-08-30 17:57:10,1461,22.38,74.19
2023-08-30 17:57:15,1462,22.4,74.19
2023-08-30 17:57:20,1462,22.41,74.25
2023-08-30 17:57:25,1462,22.4,74.17
2023-08-30 17:57:30,1462,22.4,74.21
2023-08-30 17:57:35,1462,22.39,74.23
2023-08-30 17:57:40,1463,22.4,74.26
2023-08-30 17:57:45,1463,22.39,74.19
2023-08-30 17:57:50,1462,22.4,74.22
2023-08-30 17:57:55,1463,22.39,74.22
2023-08-30 17:58:00,1464,22.4,74.21
2023-08-30 17:58:05,1464,22.39,74.23
2023-08-30 17:58:10,1465,22.4,74.24
2023-08-30 17:58:15,1466,22.4,74.26
2023-08-30 17:58:20,1466,22.39,74.25
2023-08-30 17:58:25,1466,22.38,74.2
2023-08-30 17:58:30,1466,22.37,74.21
2023-08-30 17:58:35,1466,22.4,74.24
2023-08-30 17:58:40,1468,22.39,74.21
2023-08-30 17:58:45,1468,22.37,74.21
2023-08-30 17:58:50,1468,22.37,74.25
2023-08-30 17:58:55,1468,22.39,74.26
2023-08-30 17:59:00,1468,22.41,74.26
2023-08-30 17:59:05,1467,22.37,74.22
2023-08-30 17:59:10,1469,22.39,74.21
2023-08-30 17:59:15,1469,22.39,74.22
2023-08-30 17:59:20,1468,22.41,74.29
2023-08-30 17:59:25,1468,22.4,74.21
2023-08-30 17:59:30,1468,22.39,74.26
2023-08-30 17:59:35,1468,22.4,74.24
2023-08-30 17:59:40,1468,22.4,74.24
2023-08-30 17:59:45,1469,22.39,74.22
2023-08-30 17:59:50,1468,22.39,74.23
2023-08-30 17:59:55,1468,22.38,74.25
2023-08-30 18:00:00,1468,22.37,74.21
2023-08-30 18:00:05,1468,22.38,74.21
2023-08-30 18:00:10,1469,22.4,74.27
2023-08-30 18:00:15,1468,22.36,74.25
2023-08-30 18:00:20,1468,22.39,74.21
2023-08-30 18:00:25,1467,22.42,74.25
2023-08-30 18:00:30,1468,22.4,74.24
2023-08-30 18:00:35,1468,22.39,74.21
2023-08-30 18:00:40,1468,22.39,74.22
2023-08-30 18:00:45,1468,22.38,74.25
2023-08-30 18:00:50,1467,22.39,74.24
2023-08-30 18:00:55,1467,22.4,74.26
2023-08-30 18:01:00,1467,22.38,74.26
2023-08-30 18:01:05,1467,22.41,74.28
