time, co2(ppm), temperature(°C), rel_humidity(percent)
2023-09-08 15:51:22, 573, 27.87, 62.23
2023-09-08 15:51:27, 554, 27.46, 63.37
2023-09-08 15:51:32, 535, 27.18, 64.34
2023-09-08 15:51:37, 541, 26.91, 65.32
2023-09-08 15:51:42, 548, 26.70, 66.15
2023-09-08 15:51:47, 543, 26.47, 66.98
2023-09-08 15:51:52, 542, 26.27, 67.73
2023-09-08 15:51:57, 541, 26.06, 68.39
2023-09-08 15:52:02, 543, 25.89, 69.09
2023-09-08 15:52:07, 543, 25.72, 69.71
2023-09-08 15:52:12, 543, 25.59, 70.32
2023-09-08 15:52:17, 545, 25.44, 70.84
2023-09-08 15:52:22, 545, 25.31, 71.41
2023-09-08 15:52:27, 545, 25.18, 71.88
2023-09-08 15:52:32, 545, 25.10, 72.33
2023-09-08 15:52:37, 547, 24.97, 72.74
2023-09-08 15:52:42, 547, 24.87, 73.10
2023-09-08 15:52:47, 548, 24.79, 73.44
2023-09-08 15:52:52, 549, 24.64, 74.04
2023-09-08 15:52:57, 553, 24.56, 74.30
2023-09-08 15:53:02, 553, 24.52, 74.55
2023-09-08 15:53:07, 553, 24.45, 74.82
2023-09-08 15:53:12, 554, 24.38, 75.07
2023-09-08 15:53:17, 554, 24.32, 75.20
2023-09-08 15:53:22, 555, 24.28, 75.44
2023-09-08 15:53:27, 555, 24.25, 75.61
2023-09-08 15:53:32, 558, 24.20, 75.83
2023-09-08 15:53:37, 558, 24.13, 75.96
2023-09-08 15:53:42, 558, 24.12, 76.15
2023-09-08 15:53:47, 558, 24.07, 76.35
2023-09-08 15:53:52, 559, 24.07, 76.43
2023-09-08 15:53:57, 559, 24.02, 76.53
2023-09-08 15:54:02, 560, 23.98, 76.66
2023-09-08 15:54:07, 560, 23.95, 76.77
2023-09-08 15:54:12, 561, 23.94, 76.83
2023-09-08 15:54:17, 562, 23.92, 76.91
2023-09-08 15:54:22, 564, 23.89, 77.02
2023-09-08 15:54:27, 568, 23.87, 77.22
2023-09-08 15:54:32, 568, 23.84, 77.28
2023-09-08 15:54:37, 567, 23.81, 77.39
2023-09-08 15:54:42, 567, 23.81, 77.43
2023-09-08 15:54:47, 568, 23.78, 77.50
2023-09-08 15:54:52, 568, 23.77, 77.55
2023-09-08 15:54:57, 569, 23.79, 77.63
2023-09-08 15:55:02, 570, 23.76, 77.67
2023-09-08 15:55:07, 570, 23.74, 77.68
2023-09-08 15:55:12, 570, 23.73, 77.74
2023-09-08 15:55:17, 570, 23.73, 77.76
2023-09-08 15:55:22, 569, 23.71, 77.85
2023-09-08 15:55:27, 569, 23.70, 77.85
2023-09-08 15:55:32, 569, 23.71, 77.89
2023-09-08 15:55:37, 569, 23.71, 77.93
2023-09-08 15:55:42, 569, 23.69, 77.97
2023-09-08 15:55:47, 569, 23.69, 78.01
2023-09-08 15:55:52, 570, 23.66, 78.02
2023-09-08 15:55:57, 571, 23.66, 78.04
2023-09-08 15:56:02, 570, 23.66, 78.09
2023-09-08 15:56:07, 570, 23.64, 78.09
2023-09-08 15:56:12, 570, 23.66, 78.13
2023-09-08 15:56:17, 570, 23.62, 78.15
2023-09-08 15:56:22, 571, 23.61, 78.21
2023-09-08 15:56:27, 571, 23.62, 78.23
2023-09-08 15:56:32, 570, 23.62, 78.27
2023-09-08 15:56:37, 571, 23.62, 78.32
2023-09-08 15:56:42, 571, 23.59, 78.32
2023-09-08 15:56:47, 572, 23.59, 78.35
2023-09-08 15:56:52, 572, 23.60, 78.42
2023-09-08 15:56:57, 572, 23.60, 78.43
2023-09-08 15:57:02, 572, 23.57, 78.47
2023-09-08 15:57:07, 572, 23.60, 78.55
2023-09-08 15:57:12, 572, 23.58, 78.55
2023-09-08 15:57:17, 571, 23.57, 78.59
2023-09-08 15:57:22, 571, 23.59, 78.63
2023-09-08 15:57:27, 571, 23.58, 78.67
2023-09-08 15:57:32, 571, 23.57, 78.71
2023-09-08 15:57:37, 572, 23.56, 78.74
2023-09-08 15:57:42, 574, 23.56, 78.78
2023-09-08 15:57:47, 575, 23.55, 78.81
2023-09-08 15:57:52, 575, 23.56, 78.87
2023-09-08 15:57:57, 575, 23.55, 78.89
2023-09-08 15:58:02, 576, 23.56, 78.90
2023-09-08 15:58:07, 576, 23.55, 78.95
2023-09-08 15:58:12, 576, 23.57, 78.95
2023-09-08 15:58:17, 576, 23.57, 78.99
2023-09-08 15:58:22, 576, 23.54, 78.99
2023-09-08 15:58:27, 576, 23.52, 79.04
2023-09-08 15:58:32, 576, 23.54, 79.01
2023-09-08 15:58:37, 577, 23.54, 79.07
2023-09-08 15:58:42, 577, 23.52, 79.09
2023-09-08 15:58:47, 577, 23.54, 79.11
2023-09-08 15:58:52, 578, 23.54, 79.12
2023-09-08 15:58:57, 578, 23.53, 79.10
2023-09-08 15:59:02, 579, 23.55, 79.13
2023-09-08 15:59:07, 578, 23.51, 79.11
2023-09-08 15:59:12, 579, 23.53, 79.13
2023-09-08 15:59:17, 579, 23.53, 79.20
2023-09-08 15:59:22, 580, 23.52, 79.21
2023-09-08 15:59:27, 579, 23.52, 79.21
