time, co2(ppm), temperature(°C), rel_humidity(percent)
2023-09-08 17:32:54, 1014, 23.42, 81.33
2023-09-08 17:32:59, 1015, 23.40, 81.35
2023-09-08 17:33:04, 1015, 23.42, 81.35
2023-09-08 17:33:09, 1016, 23.42, 81.31
2023-09-08 17:33:14, 1015, 23.41, 81.33
2023-09-08 17:33:19, 1016, 23.40, 81.34
2023-09-08 17:33:24, 1016, 23.41, 81.34
2023-09-08 17:33:29, 1015, 23.40, 81.32
2023-09-08 17:33:35, 1015, 23.42, 81.35
2023-09-08 17:33:40, 1015, 23.41, 81.35
2023-09-08 17:33:45, 1014, 23.40, 81.31
2023-09-08 17:33:50, 1014, 23.42, 81.32
2023-09-08 17:33:55, 1014, 23.42, 81.35
2023-09-08 17:34:00, 1014, 23.42, 81.34
2023-09-08 17:34:05, 1015, 23.42, 81.32
2023-09-08 17:34:10, 1015, 23.41, 81.37
2023-09-08 17:34:15, 1015, 23.42, 81.34
2023-09-08 17:34:20, 1016, 23.42, 81.39
2023-09-08 17:34:25, 1017, 23.41, 81.36
2023-09-08 17:34:30, 1018, 23.40, 81.36
2023-09-08 17:34:35, 1017, 23.41, 81.40
2023-09-08 17:34:40, 1016, 23.40, 81.36
2023-09-08 17:34:45, 1015, 23.41, 81.40
2023-09-08 17:34:50, 1016, 23.40, 81.38
2023-09-08 17:34:55, 1016, 23.42, 81.38
2023-09-08 17:35:00, 1016, 23.43, 81.36
2023-09-08 17:35:05, 1016, 23.42, 81.39
2023-09-08 17:35:10, 1016, 23.42, 81.39
2023-09-08 17:35:15, 1016, 23.43, 81.38
2023-09-08 17:35:20, 1016, 23.43, 81.38
2023-09-08 17:35:25, 1016, 23.42, 81.41
2023-09-08 17:35:30, 1018, 23.41, 81.40
2023-09-08 17:35:35, 1018, 23.42, 81.39
2023-09-08 17:35:40, 1019, 23.41, 81.38
2023-09-08 17:35:45, 1019, 23.41, 81.37
2023-09-08 17:35:50, 1020, 23.43, 81.43
2023-09-08 17:35:55, 1021, 23.42, 81.36
2023-09-08 17:36:00, 1022, 23.42, 81.38
2023-09-08 17:36:05, 1021, 23.41, 81.40
2023-09-08 17:36:10, 1021, 23.43, 81.40
2023-09-08 17:36:15, 1021, 23.43, 81.42
2023-09-08 17:36:20, 1022, 23.43, 81.41
2023-09-08 17:36:25, 1022, 23.41, 81.40
2023-09-08 17:36:30, 1022, 23.43, 81.38
2023-09-08 17:36:35, 1022, 23.43, 81.40
2023-09-08 17:36:40, 1022, 23.42, 81.43
2023-09-08 17:36:45, 1022, 23.40, 81.39
2023-09-08 17:36:50, 1021, 23.41, 81.42
2023-09-08 17:36:55, 1020, 23.42, 81.38
2023-09-08 17:37:00, 1020, 23.41, 81.41
2023-09-08 17:37:05, 1020, 23.42, 81.43
2023-09-08 17:37:10, 1021, 23.41, 81.38
2023-09-08 17:37:15, 1022, 23.43, 81.43
2023-09-08 17:37:20, 1023, 23.42, 81.42
2023-09-08 17:37:25, 1023, 23.40, 81.41
2023-09-08 17:37:30, 1023, 23.43, 81.42
2023-09-08 17:37:35, 1024, 23.40, 81.41
2023-09-08 17:37:40, 1023, 23.43, 81.41
2023-09-08 17:37:45, 1024, 23.42, 81.41
2023-09-08 17:37:50, 1023, 23.43, 81.44
2023-09-08 17:37:55, 1023, 23.44, 81.41
2023-09-08 17:38:00, 1023, 23.45, 81.46
2023-09-08 17:38:05, 1023, 23.41, 81.45
2023-09-08 17:38:10, 1024, 23.41, 81.44
2023-09-08 17:38:15, 1023, 23.41, 81.45
2023-09-08 17:38:20, 1024, 23.42, 81.49
2023-09-08 17:38:25, 1024, 23.41, 81.43
2023-09-08 17:38:30, 1026, 23.42, 81.43
2023-09-08 17:38:35, 1026, 23.39, 81.42
2023-09-08 17:38:40, 1026, 23.43, 81.44
2023-09-08 17:38:45, 1027, 23.42, 81.45
2023-09-08 17:38:50, 1026, 23.41, 81.45
2023-09-08 17:38:55, 1028, 23.42, 81.42
2023-09-08 17:39:00, 1027, 23.43, 81.47
2023-09-08 17:39:05, 1027, 23.41, 81.43
2023-09-08 17:39:10, 1027, 23.41, 81.45
2023-09-08 17:39:15, 1028, 23.42, 81.45
2023-09-08 17:39:20, 1029, 23.42, 81.47
2023-09-08 17:39:25, 1029, 23.42, 81.46
2023-09-08 17:39:30, 1029, 23.41, 81.45
2023-09-08 17:39:35, 1028, 23.44, 81.47
2023-09-08 17:39:40, 1029, 23.42, 81.48
2023-09-08 17:39:45, 1029, 23.42, 81.45
2023-09-08 17:39:50, 1029, 23.41, 81.43
2023-09-08 17:39:55, 1029, 23.43, 81.49
2023-09-08 17:40:00, 1028, 23.41, 81.45
2023-09-08 17:40:05, 1028, 23.44, 81.47
2023-09-08 17:40:10, 1028, 23.42, 81.50
2023-09-08 17:40:15, 1029, 23.40, 81.47
2023-09-08 17:40:20, 1029, 23.42, 81.51
2023-09-08 17:40:25, 1029, 23.42, 81.48
2023-09-08 17:40:30, 1029, 23.39, 81.49
2023-09-08 17:40:35, 1030, 23.42, 81.49
2023-09-08 17:40:40, 1029, 23.42, 81.47
2023-09-08 17:40:45, 1030, 23.40, 81.47
2023-09-08 17:40:50, 1031, 23.42, 81.51
2023-09-08 17:40:55, 1030, 23.44, 81.49
2023-09-08 17:41:00, 1031, 23.40, 81.50
2023-09-08 17:41:05, 1031, 23.40, 81.46
2023-09-08 17:41:10, 1031, 23.40, 81.48
2023-09-08 17:41:15, 1032, 23.42, 81.49
2023-09-08 17:41:20, 1032, 23.42, 81.50
2023-09-08 17:41:25, 1032, 23.42, 81.52
2023-09-08 17:41:30, 1032, 23.42, 81.48
